donor_token,month,band,event_type
D-068f,2026-06,$35,one_time
D-1739,2026-06,$35,one_time
D-1739,2026-06,$35,one_time
other,2026-06,$5,one_time
D-203d,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
D-f666,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$12,sub
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
other,2026-06,$5,one_time
D-bcdd,2026-06,$5,one_time
D-bcdd,2026-06,$5,one_time
D-2a72,2026-06,$5,one_time
D-203d,2026-06,$5,one_time
D-366f,2026-06,$5,one_time
D-ae9c,2026-06,$5,one_time
D-17a8,2026-06,$12,sub
D-17a8,2026-06,$12,sub
D-17a8,2026-06,$12,sub
D-17a8,2026-06,$12,sub
D-17a8,2026-06,$12,sub
